promotion_id,promo_id_fk
PROMO-0039-0001,PROMO-0039
PROMO-0029-0002,PROMO-0029
PROMO-0015-0003,PROMO-0015
PROMO-0043-0004,PROMO-0043
PROMO-0008-0005,PROMO-0008
PROMO-0021-0006,PROMO-0021
PROMO-0039-0007,PROMO-0039
PROMO-0019-0008,PROMO-0019
PROMO-0023-0009,PROMO-0023
PROMO-0011-0010,PROMO-0011
PROMO-0011-0011,PROMO-0011
PROMO-0024-0012,PROMO-0024
PROMO-0036-0013,PROMO-0036
PROMO-0040-0014,PROMO-0040
PROMO-0024-0015,PROMO-0024
PROMO-0003-0016,PROMO-0003
PROMO-0022-0017,PROMO-0022
PROMO-0002-0018,PROMO-0002
PROMO-0024-0019,PROMO-0024
PROMO-0044-0020,PROMO-0044
PROMO-0030-0021,PROMO-0030
PROMO-0038-0022,PROMO-0038
PROMO-0002-0023,PROMO-0002
PROMO-0021-0024,PROMO-0021
PROMO-0033-0025,PROMO-0033
PROMO-0012-0026,PROMO-0012
PROMO-0022-0027,PROMO-0022
PROMO-0044-0028,PROMO-0044
PROMO-0025-0029,PROMO-0025
PROMO-0049-0030,PROMO-0049
PROMO-0027-0031,PROMO-0027
PROMO-0042-0032,PROMO-0042
PROMO-0028-0033,PROMO-0028
PROMO-0016-0034,PROMO-0016
PROMO-0015-0035,PROMO-0015
PROMO-0047-0036,PROMO-0047
PROMO-0044-0037,PROMO-0044
PROMO-0003-0038,PROMO-0003
PROMO-0037-0039,PROMO-0037
PROMO-0007-0040,PROMO-0007
PROMO-0021-0041,PROMO-0021
PROMO-0009-0042,PROMO-0009
PROMO-0039-0043,PROMO-0039
PROMO-0018-0044,PROMO-0018
PROMO-0004-0045,PROMO-0004
PROMO-0025-0046,PROMO-0025
PROMO-0014-0047,PROMO-0014
PROMO-0050-0048,PROMO-0050
PROMO-0009-0049,PROMO-0009
PROMO-0026-0050,PROMO-0026
PROMO-0002-0051,PROMO-0002
PROMO-0020-0052,PROMO-0020
PROMO-0028-0053,PROMO-0028
PROMO-0047-0054,PROMO-0047
PROMO-0007-0055,PROMO-0007
PROMO-0044-0056,PROMO-0044
PROMO-0008-0057,PROMO-0008
PROMO-0047-0058,PROMO-0047
PROMO-0035-0059,PROMO-0035
PROMO-0014-0060,PROMO-0014
PROMO-0017-0061,PROMO-0017
PROMO-0036-0062,PROMO-0036
PROMO-0050-0063,PROMO-0050
PROMO-0040-0064,PROMO-0040
PROMO-0004-0065,PROMO-0004
PROMO-0002-0066,PROMO-0002
PROMO-0006-0067,PROMO-0006
PROMO-0042-0068,PROMO-0042
PROMO-0004-0069,PROMO-0004
PROMO-0029-0070,PROMO-0029
PROMO-0018-0071,PROMO-0018
PROMO-0026-0072,PROMO-0026
PROMO-0044-0073,PROMO-0044
PROMO-0034-0074,PROMO-0034
PROMO-0010-0075,PROMO-0010
PROMO-0036-0076,PROMO-0036
PROMO-0014-0077,PROMO-0014
PROMO-0031-0078,PROMO-0031
PROMO-0048-0079,PROMO-0048
PROMO-0015-0080,PROMO-0015
PROMO-0008-0081,PROMO-0008
PROMO-0014-0082,PROMO-0014
PROMO-0023-0083,PROMO-0023
PROMO-0040-0084,PROMO-0040
PROMO-0021-0085,PROMO-0021
PROMO-0016-0086,PROMO-0016
PROMO-0045-0087,PROMO-0045
PROMO-0018-0088,PROMO-0018
PROMO-0047-0089,PROMO-0047
PROMO-0024-0090,PROMO-0024
PROMO-0026-0091,PROMO-0026
PROMO-0025-0092,PROMO-0025
PROMO-0045-0093,PROMO-0045
PROMO-0041-0094,PROMO-0041
PROMO-0029-0095,PROMO-0029
PROMO-0015-0096,PROMO-0015
PROMO-0045-0097,PROMO-0045
PROMO-0001-0098,PROMO-0001
PROMO-0025-0099,PROMO-0025
PROMO-0007-0100,PROMO-0007
PROMO-0009-0101,PROMO-0009
PROMO-0024-0102,PROMO-0024
PROMO-0001-0103,PROMO-0001
PROMO-0044-0104,PROMO-0044
PROMO-0008-0105,PROMO-0008
PROMO-0024-0106,PROMO-0024
PROMO-0011-0107,PROMO-0011
PROMO-0017-0108,PROMO-0017
PROMO-0008-0109,PROMO-0008
PROMO-0035-0110,PROMO-0035
PROMO-0035-0111,PROMO-0035
PROMO-0033-0112,PROMO-0033
PROMO-0005-0113,PROMO-0005
PROMO-0042-0114,PROMO-0042
PROMO-0039-0115,PROMO-0039
PROMO-0041-0116,PROMO-0041
PROMO-0028-0117,PROMO-0028
PROMO-0007-0118,PROMO-0007
PROMO-0009-0119,PROMO-0009
PROMO-0008-0120,PROMO-0008
PROMO-0012-0121,PROMO-0012
PROMO-0034-0122,PROMO-0034
PROMO-0033-0123,PROMO-0033
PROMO-0048-0124,PROMO-0048
PROMO-0023-0125,PROMO-0023
PROMO-0024-0126,PROMO-0024
PROMO-0037-0127,PROMO-0037
PROMO-0035-0128,PROMO-0035
PROMO-0044-0129,PROMO-0044
PROMO-0040-0130,PROMO-0040
PROMO-0022-0131,PROMO-0022
PROMO-0027-0132,PROMO-0027
PROMO-0035-0133,PROMO-0035
PROMO-0001-0134,PROMO-0001
PROMO-0035-0135,PROMO-0035
PROMO-0037-0136,PROMO-0037
PROMO-0047-0137,PROMO-0047
PROMO-0014-0138,PROMO-0014
PROMO-0003-0139,PROMO-0003
PROMO-0001-0140,PROMO-0001
PROMO-0005-0141,PROMO-0005
PROMO-0026-0142,PROMO-0026
PROMO-0014-0143,PROMO-0014
PROMO-0039-0144,PROMO-0039
PROMO-0027-0145,PROMO-0027
PROMO-0009-0146,PROMO-0009
PROMO-0015-0147,PROMO-0015
PROMO-0015-0148,PROMO-0015
PROMO-0026-0149,PROMO-0026
PROMO-0042-0150,PROMO-0042
PROMO-0013-0151,PROMO-0013
PROMO-0032-0152,PROMO-0032
PROMO-0039-0153,PROMO-0039
PROMO-0049-0154,PROMO-0049
PROMO-0032-0155,PROMO-0032
PROMO-0004-0156,PROMO-0004
PROMO-0030-0157,PROMO-0030
PROMO-0037-0158,PROMO-0037
PROMO-0023-0159,PROMO-0023
PROMO-0039-0160,PROMO-0039
PROMO-0045-0161,PROMO-0045
PROMO-0015-0162,PROMO-0015
PROMO-0043-0163,PROMO-0043
PROMO-0029-0164,PROMO-0029
PROMO-0036-0165,PROMO-0036
PROMO-0013-0166,PROMO-0013
PROMO-0032-0167,PROMO-0032
PROMO-0007-0168,PROMO-0007
PROMO-0022-0169,PROMO-0022
PROMO-0028-0170,PROMO-0028
PROMO-0002-0171,PROMO-0002
PROMO-0042-0172,PROMO-0042
PROMO-0045-0173,PROMO-0045
PROMO-0006-0174,PROMO-0006
PROMO-0028-0175,PROMO-0028
PROMO-0028-0176,PROMO-0028
PROMO-0044-0177,PROMO-0044
PROMO-0044-0178,PROMO-0044
PROMO-0020-0179,PROMO-0020
PROMO-0030-0180,PROMO-0030
PROMO-0011-0181,PROMO-0011
PROMO-0028-0182,PROMO-0028
PROMO-0025-0183,PROMO-0025
PROMO-0039-0184,PROMO-0039
PROMO-0033-0185,PROMO-0033
PROMO-0001-0186,PROMO-0001
PROMO-0027-0187,PROMO-0027
PROMO-0013-0188,PROMO-0013
PROMO-0041-0189,PROMO-0041
PROMO-0003-0190,PROMO-0003
PROMO-0039-0191,PROMO-0039
PROMO-0006-0192,PROMO-0006
PROMO-0008-0193,PROMO-0008
PROMO-0027-0194,PROMO-0027
PROMO-0009-0195,PROMO-0009
PROMO-0037-0196,PROMO-0037
PROMO-0033-0197,PROMO-0033
PROMO-0042-0198,PROMO-0042
PROMO-0044-0199,PROMO-0044
PROMO-0024-0200,PROMO-0024
PROMO-0015-0201,PROMO-0015
PROMO-0032-0202,PROMO-0032
PROMO-0032-0203,PROMO-0032
PROMO-0024-0204,PROMO-0024
PROMO-0041-0205,PROMO-0041
PROMO-0049-0206,PROMO-0049
PROMO-0049-0207,PROMO-0049
PROMO-0012-0208,PROMO-0012
PROMO-0039-0209,PROMO-0039
PROMO-0002-0210,PROMO-0002
PROMO-0003-0211,PROMO-0003
PROMO-0049-0212,PROMO-0049
PROMO-0037-0213,PROMO-0037
PROMO-0049-0214,PROMO-0049
PROMO-0017-0215,PROMO-0017
PROMO-0049-0216,PROMO-0049
PROMO-0002-0217,PROMO-0002
PROMO-0002-0218,PROMO-0002
PROMO-0028-0219,PROMO-0028
PROMO-0023-0220,PROMO-0023
PROMO-0037-0221,PROMO-0037
PROMO-0032-0222,PROMO-0032
PROMO-0033-0223,PROMO-0033
PROMO-0001-0224,PROMO-0001
PROMO-0019-0225,PROMO-0019
PROMO-0002-0226,PROMO-0002
PROMO-0044-0227,PROMO-0044
PROMO-0026-0228,PROMO-0026
PROMO-0032-0229,PROMO-0032
PROMO-0006-0230,PROMO-0006
PROMO-0032-0231,PROMO-0032
PROMO-0004-0232,PROMO-0004
PROMO-0011-0233,PROMO-0011
PROMO-0017-0234,PROMO-0017
PROMO-0038-0235,PROMO-0038
PROMO-0024-0236,PROMO-0024
PROMO-0005-0237,PROMO-0005
PROMO-0034-0238,PROMO-0034
PROMO-0006-0239,PROMO-0006
PROMO-0022-0240,PROMO-0022
PROMO-0011-0241,PROMO-0011
PROMO-0048-0242,PROMO-0048
PROMO-0016-0243,PROMO-0016
PROMO-0033-0244,PROMO-0033
PROMO-0009-0245,PROMO-0009
PROMO-0006-0246,PROMO-0006
PROMO-0016-0247,PROMO-0016
PROMO-0029-0248,PROMO-0029
PROMO-0003-0249,PROMO-0003
PROMO-0020-0250,PROMO-0020
PROMO-0036-0251,PROMO-0036
PROMO-0019-0252,PROMO-0019
PROMO-0026-0253,PROMO-0026
PROMO-0003-0254,PROMO-0003
PROMO-0019-0255,PROMO-0019
PROMO-0020-0256,PROMO-0020
PROMO-0032-0257,PROMO-0032
PROMO-0007-0258,PROMO-0007
PROMO-0041-0259,PROMO-0041
PROMO-0033-0260,PROMO-0033
PROMO-0040-0261,PROMO-0040
PROMO-0039-0262,PROMO-0039
PROMO-0018-0263,PROMO-0018
PROMO-0040-0264,PROMO-0040
PROMO-0001-0265,PROMO-0001
PROMO-0011-0266,PROMO-0011
PROMO-0028-0267,PROMO-0028
PROMO-0025-0268,PROMO-0025
PROMO-0050-0269,PROMO-0050
PROMO-0023-0270,PROMO-0023
PROMO-0031-0271,PROMO-0031
PROMO-0030-0272,PROMO-0030
PROMO-0042-0273,PROMO-0042
PROMO-0035-0274,PROMO-0035
PROMO-0007-0275,PROMO-0007
PROMO-0016-0276,PROMO-0016
PROMO-0026-0277,PROMO-0026
PROMO-0048-0278,PROMO-0048
PROMO-0049-0279,PROMO-0049
PROMO-0002-0280,PROMO-0002
PROMO-0001-0281,PROMO-0001
PROMO-0048-0282,PROMO-0048
PROMO-0012-0283,PROMO-0012
PROMO-0005-0284,PROMO-0005
PROMO-0037-0285,PROMO-0037
PROMO-0032-0286,PROMO-0032
PROMO-0009-0287,PROMO-0009
PROMO-0041-0288,PROMO-0041
PROMO-0035-0289,PROMO-0035
PROMO-0019-0290,PROMO-0019
PROMO-0048-0291,PROMO-0048
PROMO-0016-0292,PROMO-0016
PROMO-0003-0293,PROMO-0003
PROMO-0020-0294,PROMO-0020
PROMO-0024-0295,PROMO-0024
PROMO-0033-0296,PROMO-0033
PROMO-0024-0297,PROMO-0024
PROMO-0011-0298,PROMO-0011
PROMO-0049-0299,PROMO-0049
PROMO-0008-0300,PROMO-0008
PROMO-0036-0301,PROMO-0036
PROMO-0038-0302,PROMO-0038
PROMO-0040-0303,PROMO-0040
PROMO-0020-0304,PROMO-0020
PROMO-0035-0305,PROMO-0035
PROMO-0048-0306,PROMO-0048
PROMO-0025-0307,PROMO-0025
PROMO-0035-0308,PROMO-0035
PROMO-0025-0309,PROMO-0025
PROMO-0029-0310,PROMO-0029
PROMO-0018-0311,PROMO-0018
PROMO-0046-0312,PROMO-0046
PROMO-0018-0313,PROMO-0018
PROMO-0002-0314,PROMO-0002
PROMO-0035-0315,PROMO-0035
PROMO-0016-0316,PROMO-0016
PROMO-0041-0317,PROMO-0041
PROMO-0036-0318,PROMO-0036
PROMO-0033-0319,PROMO-0033
PROMO-0004-0320,PROMO-0004
PROMO-0033-0321,PROMO-0033
PROMO-0014-0322,PROMO-0014
PROMO-0021-0323,PROMO-0021
PROMO-0048-0324,PROMO-0048
PROMO-0020-0325,PROMO-0020
PROMO-0008-0326,PROMO-0008
PROMO-0007-0327,PROMO-0007
PROMO-0003-0328,PROMO-0003
PROMO-0017-0329,PROMO-0017
PROMO-0033-0330,PROMO-0033
PROMO-0048-0331,PROMO-0048
PROMO-0012-0332,PROMO-0012
PROMO-0022-0333,PROMO-0022
PROMO-0022-0334,PROMO-0022
PROMO-0046-0335,PROMO-0046
PROMO-0030-0336,PROMO-0030
PROMO-0038-0337,PROMO-0038
PROMO-0038-0338,PROMO-0038
PROMO-0045-0339,PROMO-0045
PROMO-0008-0340,PROMO-0008
PROMO-0027-0341,PROMO-0027
PROMO-0027-0342,PROMO-0027
PROMO-0034-0343,PROMO-0034
PROMO-0021-0344,PROMO-0021
PROMO-0030-0345,PROMO-0030
PROMO-0033-0346,PROMO-0033
PROMO-0028-0347,PROMO-0028
PROMO-0047-0348,PROMO-0047
PROMO-0033-0349,PROMO-0033
PROMO-0005-0350,PROMO-0005
PROMO-0048-0351,PROMO-0048
PROMO-0019-0352,PROMO-0019
PROMO-0004-0353,PROMO-0004
PROMO-0035-0354,PROMO-0035
PROMO-0049-0355,PROMO-0049
PROMO-0017-0356,PROMO-0017
PROMO-0044-0357,PROMO-0044
PROMO-0028-0358,PROMO-0028
PROMO-0030-0359,PROMO-0030
PROMO-0029-0360,PROMO-0029
PROMO-0046-0361,PROMO-0046
PROMO-0006-0362,PROMO-0006
PROMO-0035-0363,PROMO-0035
PROMO-0041-0364,PROMO-0041
PROMO-0037-0365,PROMO-0037
PROMO-0024-0366,PROMO-0024
PROMO-0029-0367,PROMO-0029
PROMO-0049-0368,PROMO-0049
PROMO-0046-0369,PROMO-0046
PROMO-0031-0370,PROMO-0031
PROMO-0035-0371,PROMO-0035
PROMO-0033-0372,PROMO-0033
PROMO-0021-0373,PROMO-0021
PROMO-0032-0374,PROMO-0032
PROMO-0023-0375,PROMO-0023
PROMO-0033-0376,PROMO-0033
PROMO-0003-0377,PROMO-0003
PROMO-0018-0378,PROMO-0018
PROMO-0025-0379,PROMO-0025
PROMO-0042-0380,PROMO-0042
PROMO-0031-0381,PROMO-0031
PROMO-0003-0382,PROMO-0003
PROMO-0040-0383,PROMO-0040
PROMO-0046-0384,PROMO-0046
PROMO-0024-0385,PROMO-0024
PROMO-0050-0386,PROMO-0050
PROMO-0032-0387,PROMO-0032
PROMO-0047-0388,PROMO-0047
PROMO-0022-0389,PROMO-0022
PROMO-0023-0390,PROMO-0023
PROMO-0002-0391,PROMO-0002
PROMO-0027-0392,PROMO-0027
PROMO-0042-0393,PROMO-0042
PROMO-0002-0394,PROMO-0002
PROMO-0026-0395,PROMO-0026
PROMO-0017-0396,PROMO-0017
PROMO-0040-0397,PROMO-0040
PROMO-0033-0398,PROMO-0033
PROMO-0009-0399,PROMO-0009
PROMO-0043-0400,PROMO-0043
PROMO-0048-0401,PROMO-0048
PROMO-0039-0402,PROMO-0039
PROMO-0029-0403,PROMO-0029
